time[d],date,hour,debug1,debug2,debug3,debug4,debug5
13278,1997-02-07,00:00:00.00,0.331291,0,0,0,582.358
13279,1997-02-08,00:00:00.00,0.331291,0,0,0,582.358
13280,1997-02-09,00:00:00.00,0.331291,0,0,0,582.358
13281,1997-02-10,00:00:00.00,0.331291,0,0,0,582.358
13282,1997-02-11,00:00:00.00,0.331291,0,0,0,582.358
13283,1997-02-12,00:00:00.00,0.331291,0,0,0,582.358
13284,1997-02-13,00:00:00.00,0.331291,0,0,0,582.358
13285,1997-02-14,00:00:00.00,0.331291,0,0,0,582.358
13286,1997-02-15,00:00:00.00,0.331291,0,0,0,582.358
13287,1997-02-16,00:00:00.00,0.331291,0,0,0,582.358
13288,1997-02-17,00:00:00.00,0.331291,0,0,0,582.358
13289,1997-02-18,00:00:00.00,0.331291,0,0,0,582.358
13290,1997-02-19,00:00:00.00,0.331291,0,0,0,582.358
13291,1997-02-20,00:00:00.00,0.331291,0,0,0,582.358
13292,1997-02-21,00:00:00.00,0.331291,0,0,0,582.358
13293,1997-02-22,00:00:00.00,0.331291,0,0,0,582.358
13294,1997-02-23,00:00:00.00,0.331291,0,0,0,582.358
13295,1997-02-24,00:00:00.00,0.331291,0,0,0,582.358
13296,1997-02-25,00:00:00.00,0.331291,0,0,0,582.358
13297,1997-02-26,00:00:00.00,0.331291,0,0,0,582.358
13298,1997-02-27,00:00:00.00,0.331291,0,0,0,582.358
13299,1997-02-28,00:00:00.00,0.331291,0,0,0,582.358
13300,1997-03-01,00:00:00.00,0.331291,0,0,0,582.358
13301,1997-03-02,00:00:00.00,0.331291,0,0,0,582.358
13302,1997-03-03,00:00:00.00,0.331291,0,0,0,582.358
13303,1997-03-04,00:00:00.00,0.331291,0,0,0,582.358
13304,1997-03-05,00:00:00.00,0.331291,0,0,0,582.358
13305,1997-03-06,00:00:00.00,0.331291,0,0,0,582.358
13306,1997-03-07,00:00:00.00,0.331291,0,0,0,582.358
13307,1997-03-08,00:00:00.00,0.331291,0,0,0,582.358
13308,1997-03-09,00:00:00.00,0.331291,0,0,0,582.358
13309,1997-03-10,00:00:00.00,0.331291,0,0,0,582.358
